0 Branching ratio for SO      S/O        0 branches     
Lambda   S/O
2249.02         3.99E-23
2249.52         4.05E-23
2250.01         8.44E-23
2250.51         1.63E-22
2251.00         2.41E-22
2251.50         2.77E-22
2251.99         2.99E-22
2252.49         3.20E-22
2252.98         1.33E-21
2253.48         2.40E-21
2253.98         3.44E-21
2254.47         4.19E-21
2254.97         4.94E-21
2255.46         2.39E-20
2255.96         8.36E-20
2256.45         1.43E-19
2256.95         2.48E-19
2257.45         4.00E-19
2257.94         5.51E-19
2258.44         6.16E-19
2258.93         6.37E-19
2259.43         6.58E-19
2259.92         5.96E-19
2260.42         5.18E-19
2260.91         4.40E-19
2261.41         3.83E-19
2261.91         3.26E-19
2262.40         2.73E-19
2262.90         2.40E-19
2263.39         2.06E-19
2263.89         1.77E-19
2264.38         1.56E-19
2264.88         1.35E-19
2265.38         1.15E-19
2265.87         9.69E-20
2266.37         7.86E-20
2266.86         6.71E-20
2267.36         5.92E-20
2267.85         5.14E-20
2268.35         4.44E-20
2268.84         3.76E-20
2269.34         3.08E-20
2269.84         2.43E-20
2270.33         1.79E-20
2270.83         1.17E-20
2271.32         8.01E-21
2271.82         4.33E-21
2272.31         1.43E-21
2272.81         1.08E-21
2273.30         7.38E-22
2273.80         4.99E-22
2274.30         4.41E-22
2274.79         3.82E-22
2275.29         3.44E-22
2275.78         3.24E-22
2276.28         3.04E-22
2276.77         2.95E-22
2277.27         2.93E-22
2277.77         2.90E-22
2278.26         3.88E-22
2278.76         5.17E-22
2279.25         6.46E-22
2279.75         8.24E-22
2280.24         1.01E-21
2280.74         1.19E-21
2281.23         1.33E-21
2281.73         1.47E-21
2282.23         1.59E-21
2282.72         1.55E-21
2283.22         1.52E-21
2283.71         1.56E-21
2284.21         1.83E-21
2284.70         2.10E-21
2285.20         2.33E-21
2285.69         2.48E-21
2286.19         2.63E-21
2286.69         1.30E-20
2287.18         3.59E-20
2287.68         5.88E-20
2288.17         9.46E-20
2288.67         1.41E-19
2289.16         1.87E-19
2289.66         2.03E-19
2290.16         2.03E-19
2290.65         2.03E-19
2291.15         1.85E-19
2291.64         1.60E-19
2292.14         1.35E-19
2292.63         1.18E-19
2293.13         1.02E-19
2293.62         8.60E-20
2294.12         7.50E-20
2294.62         6.45E-20
2295.11         5.40E-20
2295.61         4.77E-20
2296.10         4.15E-20
2296.60         3.54E-20
2297.09         3.09E-20
2297.59         2.64E-20
2298.09         2.21E-20
2298.58         1.92E-20
2299.08         1.63E-20
2299.57         1.36E-20
2300.07         1.17E-20
2300.56         9.81E-21
2301.06         7.93E-21
2301.55         6.09E-21
2302.05         4.26E-21
2302.55         2.78E-21
2303.04         1.94E-21
2303.54         1.10E-21
2304.03         5.76E-22
2304.53         4.91E-22
2305.02         4.05E-22
2305.52         3.59E-22
2306.01         3.57E-22
2306.51         3.54E-22
2307.01         4.78E-22
2307.50         7.13E-22
2308.00         9.48E-22
2308.49         2.48E-21
2308.99         4.94E-21
2309.48         7.40E-21
2309.98         9.94E-21
2310.48         1.25E-20
2310.97         1.51E-20
2311.47         1.55E-20
2311.96         1.47E-20
2312.46         1.40E-20
2312.95         1.28E-20
2313.45         1.14E-20
2313.94         1.00E-20
2314.44         8.95E-21
2314.94         7.95E-21
2315.43         6.95E-21
2315.93         5.80E-21
2316.42         4.61E-21
2316.92         3.42E-21
2317.41         2.46E-21
2317.91         1.56E-21
2318.41         6.69E-22
2318.90         3.08E-21
2319.40         6.20E-21
2319.89         9.32E-21
2320.39         1.84E-20
2320.88         2.87E-20
2321.38         3.89E-20
2321.87         4.26E-20
2322.37         4.52E-20
2322.87         4.78E-20
2323.36         4.34E-20
2323.86         3.81E-20
2324.35         3.27E-20
2324.85         2.91E-20
2325.34         2.57E-20
2325.84         2.24E-20
2326.33         2.55E-20
2326.83         2.94E-20
2327.33         3.33E-20
2327.82         3.87E-20
2328.32         4.44E-20
2328.81         5.00E-20
2329.31         4.82E-20
2329.80         4.53E-20
2330.30         4.24E-20
2330.80         3.81E-20
2331.29         3.36E-20
2331.79         2.90E-20
2332.28         2.59E-20
2332.78         2.29E-20
2333.27         1.99E-20
2333.77         1.75E-20
2334.26         1.53E-20
2334.76         1.30E-20
2335.26         1.16E-20
2335.75         1.03E-20
2336.25         9.06E-21
2336.74         7.91E-21
2337.24         6.78E-21
2337.73         5.65E-21
2338.23         4.71E-21
2338.72         3.82E-21
2339.22         2.92E-21
2339.72         2.59E-21
2340.21         2.44E-21
2340.71         2.28E-21
2341.20         2.05E-21
2341.70         1.79E-21
2342.19         1.53E-21
2342.69         1.30E-21
2343.19         1.08E-21
2343.68         8.57E-22
2344.18         2.85E-21
2344.67         6.11E-21
2345.17         9.37E-21
2345.66         2.21E-20
2346.16         4.15E-20
2346.65         6.08E-20
2347.15         7.61E-20
2347.65         8.79E-20
2348.14         9.98E-20
2348.64         1.01E-19
2349.13         9.23E-20
2349.63         8.32E-20
2350.12         7.46E-20
2350.62         6.66E-20
2351.12         5.86E-20
2351.61         5.14E-20
2352.11         4.55E-20
2352.60         3.96E-20
2353.10         3.45E-20
2353.59         3.12E-20
2354.09         2.78E-20
2354.58         2.50E-20
2355.08         2.40E-20
2355.58         2.30E-20
2356.07         2.16E-20
2356.57         1.87E-20
2357.06         1.57E-20
2357.56         1.28E-20
2358.05         1.13E-20
2358.55         9.86E-21
2359.04         8.38E-21
2359.54         7.34E-21
2360.04         6.30E-21
2360.53         5.26E-21
2361.03         4.40E-21
2361.52         3.56E-21
2362.02         2.72E-21
2362.51         2.54E-21
2363.01         2.51E-21
2363.51         2.48E-21
2364.00         3.84E-21
2364.50         5.71E-21
2364.99         7.59E-21
2365.49         3.02E-20
2365.98         6.50E-20
2366.48         9.98E-20
2366.97         1.36E-19
2367.47         1.75E-19
2367.97         2.13E-19
2368.46         2.29E-19
2368.96         2.16E-19
2369.45         2.02E-19
2369.95         1.86E-19
2370.44         1.63E-19
2370.94         1.40E-19
