0 Branching ratio for H2S       Total        1 branches    
Lambda          Total          SH/H
2086.46         3.41E-18        3.41E-18
2086.96         3.40E-18        3.40E-18
2087.45         3.39E-18        3.39E-18
2087.95         3.37E-18        3.37E-18
2088.44         3.36E-18        3.36E-18
2088.94         3.34E-18        3.34E-18
2089.43         3.33E-18        3.33E-18
2089.93         3.32E-18        3.32E-18
2090.43         3.30E-18        3.30E-18
2090.92         3.29E-18        3.29E-18
2091.42         3.28E-18        3.28E-18
2091.91         3.26E-18        3.26E-18
2092.41         3.25E-18        3.25E-18
2092.90         3.24E-18        3.24E-18
2093.40         3.24E-18        3.24E-18
2093.90         3.22E-18        3.22E-18
2094.39         3.21E-18        3.21E-18
2094.89         3.19E-18        3.19E-18
2095.38         3.19E-18        3.19E-18
2095.88         3.17E-18        3.17E-18
2096.37         3.16E-18        3.16E-18
2096.87         3.14E-18        3.14E-18
2097.36         3.13E-18        3.13E-18
2097.86         3.12E-18        3.12E-18
2098.36         3.11E-18        3.11E-18
2098.85         3.09E-18        3.09E-18
2099.35         3.09E-18        3.09E-18
2099.84         3.08E-18        3.08E-18
2100.34         3.07E-18        3.07E-18
2100.83         3.05E-18        3.05E-18
2101.33         3.04E-18        3.04E-18
2101.82         3.02E-18        3.02E-18
2102.32         3.01E-18        3.01E-18
2102.82         2.99E-18        2.99E-18
2103.31         2.98E-18        2.98E-18
2103.81         2.97E-18        2.97E-18
2104.30         2.96E-18        2.96E-18
2104.80         2.94E-18        2.94E-18
2105.29         2.94E-18        2.94E-18
2105.79         2.92E-18        2.92E-18
2106.29         2.91E-18        2.91E-18
2106.78         2.90E-18        2.90E-18
2107.28         2.89E-18        2.89E-18
2107.77         2.87E-18        2.87E-18
2108.27         2.87E-18        2.87E-18
2108.76         2.85E-18        2.85E-18
2109.26         2.84E-18        2.84E-18
2109.75         2.83E-18        2.83E-18
2110.25         2.82E-18        2.82E-18
2110.75         2.81E-18        2.81E-18
2111.24         2.80E-18        2.80E-18
2111.74         2.79E-18        2.79E-18
2112.23         2.78E-18        2.78E-18
2112.73         2.77E-18        2.77E-18
2113.22         2.75E-18        2.75E-18
2113.72         2.73E-18        2.73E-18
2114.21         2.73E-18        2.73E-18
2114.71         2.72E-18        2.72E-18
2115.21         2.71E-18        2.71E-18
2115.70         2.69E-18        2.69E-18
2116.20         2.69E-18        2.69E-18
2116.69         2.68E-18        2.68E-18
2117.19         2.66E-18        2.66E-18
2117.68         2.65E-18        2.65E-18
2118.18         2.64E-18        2.64E-18
2118.68         2.63E-18        2.63E-18
2119.17         2.62E-18        2.62E-18
2119.67         2.61E-18        2.61E-18
2120.16         2.59E-18        2.59E-18
2120.66         2.58E-18        2.58E-18
2121.15         2.58E-18        2.58E-18
2121.65         2.56E-18        2.56E-18
2122.14         2.56E-18        2.56E-18
2122.64         2.55E-18        2.55E-18
2123.14         2.54E-18        2.54E-18
2123.63         2.53E-18        2.53E-18
2124.13         2.53E-18        2.53E-18
2124.62         2.51E-18        2.51E-18
2125.12         2.50E-18        2.50E-18
2125.61         2.48E-18        2.48E-18
2126.11         2.48E-18        2.48E-18
2126.61         2.47E-18        2.47E-18
2127.10         2.46E-18        2.46E-18
2127.60         2.45E-18        2.45E-18
2128.09         2.43E-18        2.43E-18
2128.59         2.43E-18        2.43E-18
2129.08         2.42E-18        2.42E-18
2129.58         2.41E-18        2.41E-18
2130.07         2.39E-18        2.39E-18
2130.57         2.39E-18        2.39E-18
2131.07         2.37E-18        2.37E-18
2131.56         2.37E-18        2.37E-18
2132.06         2.36E-18        2.36E-18
2132.55         2.35E-18        2.35E-18
2133.05         2.35E-18        2.35E-18
2133.54         2.34E-18        2.34E-18
2134.04         2.33E-18        2.33E-18
2134.53         2.32E-18        2.32E-18
2135.03         2.31E-18        2.31E-18
2135.53         2.31E-18        2.31E-18
2136.02         2.29E-18        2.29E-18
2136.52         2.29E-18        2.29E-18
2137.01         2.28E-18        2.28E-18
2137.51         2.27E-18        2.27E-18
2138.00         2.26E-18        2.26E-18
2138.50         2.25E-18        2.25E-18
2139.00         2.24E-18        2.24E-18
2139.49         2.23E-18        2.23E-18
2139.99         2.23E-18        2.23E-18
2140.48         2.22E-18        2.22E-18
2140.98         2.21E-18        2.21E-18
2141.47         2.20E-18        2.20E-18
2141.97         2.19E-18        2.19E-18
2142.46         2.18E-18        2.18E-18
2142.96         2.17E-18        2.17E-18
2143.46         2.16E-18        2.16E-18
2143.95         2.15E-18        2.15E-18
2144.45         2.14E-18        2.14E-18
2144.94         2.13E-18        2.13E-18
2145.44         2.12E-18        2.12E-18
2145.93         2.11E-18        2.11E-18
2146.43         2.10E-18        2.10E-18
2146.92         2.10E-18        2.10E-18
2147.42         2.09E-18        2.09E-18
2147.92         2.08E-18        2.08E-18
2148.41         2.07E-18        2.07E-18
2148.91         2.06E-18        2.06E-18
2149.40         2.06E-18        2.06E-18
2149.90         2.05E-18        2.05E-18
2150.39         2.04E-18        2.04E-18
2150.89         2.03E-18        2.03E-18
2151.39         2.02E-18        2.02E-18
2151.88         2.01E-18        2.01E-18
2152.38         2.00E-18        2.00E-18
2152.87         1.99E-18        1.99E-18
2153.37         1.98E-18        1.98E-18
2153.86         1.98E-18        1.98E-18
2154.36         1.97E-18        1.97E-18
2154.85         1.95E-18        1.95E-18
2155.35         1.95E-18        1.95E-18
2155.85         1.94E-18        1.94E-18
2156.34         1.93E-18        1.93E-18
2156.84         1.92E-18        1.92E-18
2157.33         1.91E-18        1.91E-18
2157.83         1.90E-18        1.90E-18
2158.32         1.90E-18        1.90E-18
2158.82         1.89E-18        1.89E-18
2159.32         1.88E-18        1.88E-18
2159.81         1.87E-18        1.87E-18
