0 Branching ratio for SO2       Total        1 branches    
Lambda          Total           SO/O
2100.34         6.94E-18        6.94E-18
2100.83         7.21E-18        7.21E-18
2101.33         8.73E-18        8.73E-18
2101.82         1.11E-17        1.11E-17
2102.32         1.16E-17        1.16E-17
2102.82         1.13E-17        1.13E-17
2103.31         1.07E-17        1.07E-17
2103.81         9.29E-18        9.28E-18
2104.30         8.25E-18        8.24E-18
2104.80         7.06E-18        7.05E-18
2105.29         6.39E-18        6.38E-18
2105.79         5.87E-18        5.86E-18
2106.29         5.39E-18        5.39E-18
2106.78         4.77E-18        4.76E-18
2107.28         4.28E-18        4.28E-18
2107.77         3.83E-18        3.83E-18
2108.27         3.47E-18        3.47E-18
2108.76         3.32E-18        3.32E-18
2109.26         3.22E-18        3.21E-18
2109.75         3.06E-18        3.05E-18
2110.25         2.69E-18        2.68E-18
2110.75         2.35E-18        2.35E-18
2111.24         2.03E-18        2.03E-18
2111.74         1.74E-18        1.74E-18
2112.23         1.54E-18        1.54E-18
2112.73         1.35E-18        1.35E-18
2113.22         1.18E-18        1.18E-18
2113.72         1.08E-18        1.07E-18
2114.21         9.58E-19        9.57E-19
2114.71         8.98E-19        8.96E-19
2115.21         8.74E-19        8.72E-19
2115.70         1.04E-18        1.03E-18
2116.20         1.64E-18        1.64E-18
2116.69         3.43E-18        3.43E-18
2117.19         6.99E-18        6.98E-18
2117.68         9.82E-18        9.80E-18
2118.18         1.06E-17        1.06E-17
2118.68         1.01E-17        1.01E-17
2119.17         8.77E-18        8.75E-18
2119.67         7.68E-18        7.66E-18
2120.16         6.77E-18        6.76E-18
2120.66         6.06E-18        6.05E-18
2121.15         5.67E-18        5.66E-18
2121.65         5.28E-18        5.27E-18
2122.14         4.88E-18        4.86E-18
2122.64         4.52E-18        4.51E-18
2123.14         4.20E-18        4.19E-18
2123.63         3.86E-18        3.85E-18
2124.13         3.60E-18        3.59E-18
2124.62         3.55E-18        3.54E-18
2125.12         3.65E-18        3.64E-18
2125.61         3.63E-18        3.61E-18
2126.11         3.45E-18        3.43E-18
2126.61         3.13E-18        3.12E-18
2127.10         2.82E-18        2.81E-18
2127.60         2.43E-18        2.42E-18
2128.09         2.12E-18        2.12E-18
2128.59         1.87E-18        1.86E-18
2129.08         1.68E-18        1.67E-18
2129.58         1.49E-18        1.49E-18
2130.07         1.34E-18        1.33E-18
2130.57         1.26E-18        1.25E-18
2131.07         1.13E-18        1.12E-18
2131.56         1.07E-18        1.07E-18
2132.06         9.99E-19        9.93E-19
2132.55         1.18E-18        1.17E-18
2133.05         2.12E-18        2.11E-18
2133.54         4.09E-18        4.07E-18
2134.04         5.33E-18        5.30E-18
2134.53         5.49E-18        5.45E-18
2135.03         5.65E-18        5.61E-18
2135.53         6.28E-18        6.23E-18
2136.02         6.69E-18        6.65E-18
2136.52         6.58E-18        6.53E-18
2137.01         6.29E-18        6.24E-18
2137.51         5.76E-18        5.71E-18
2138.00         5.16E-18        5.11E-18
2138.50         4.59E-18        4.55E-18
2139.00         4.01E-18        3.97E-18
2139.49         3.54E-18        3.51E-18
