0 Branching ratio for O2       Total        1 branches    
Lambda          Total           O/O
2087.95         1.67E-23        1.67E-23
2088.44         1.67E-23        1.67E-23
2088.94         1.67E-23        1.67E-23
2089.43         1.67E-23        1.67E-23
2089.93         1.67E-23        1.67E-23
2090.43         1.66E-23        1.66E-23
2090.92         1.66E-23        1.66E-23
2091.42         1.66E-23        1.66E-23
2091.91         1.66E-23        1.66E-23
2092.41         1.66E-23        1.66E-23
2092.90         1.66E-23        1.66E-23
2093.40         1.65E-23        1.65E-23
2093.90         1.65E-23        1.65E-23
2094.39         1.65E-23        1.65E-23
2094.89         1.65E-23        1.65E-23
2095.38         1.65E-23        1.65E-23
2095.88         1.64E-23        1.64E-23
2096.37         1.64E-23        1.64E-23
2096.87         1.64E-23        1.64E-23
2097.36         1.64E-23        1.64E-23
2097.86         1.64E-23        1.64E-23
2098.36         1.64E-23        1.64E-23
2098.85         1.63E-23        1.63E-23
2099.35         1.63E-23        1.63E-23
2099.84         1.63E-23        1.63E-23
2100.34         1.63E-23        1.63E-23
2100.83         1.63E-23        1.63E-23
2101.33         1.62E-23        1.62E-23
2101.82         1.62E-23        1.62E-23
2102.32         1.62E-23        1.62E-23
2102.82         1.62E-23        1.62E-23
2103.31         1.62E-23        1.62E-23
2103.81         1.61E-23        1.61E-23
2104.30         1.61E-23        1.61E-23
2104.80         1.61E-23        1.61E-23
2105.29         1.61E-23        1.61E-23
2105.79         1.61E-23        1.61E-23
2106.29         1.60E-23        1.60E-23
2106.78         1.60E-23        1.60E-23
2107.28         1.60E-23        1.60E-23
2107.77         1.60E-23        1.60E-23
2108.27         1.60E-23        1.60E-23
2108.76         1.59E-23        1.59E-23
2109.26         1.59E-23        1.59E-23
2109.75         1.59E-23        1.59E-23
2110.25         1.59E-23        1.59E-23
2110.75         1.58E-23        1.58E-23
2111.24         1.58E-23        1.58E-23
2111.74         1.58E-23        1.58E-23
2112.23         1.58E-23        1.58E-23
2112.73         1.58E-23        1.58E-23
2113.22         1.57E-23        1.57E-23
2113.72         1.57E-23        1.57E-23
2114.21         1.57E-23        1.57E-23
2114.71         1.57E-23        1.57E-23
2115.21         1.57E-23        1.57E-23
2115.70         1.56E-23        1.56E-23
2116.20         1.56E-23        1.56E-23
2116.69         1.56E-23        1.56E-23
2117.19         1.56E-23        1.56E-23
2117.68         1.56E-23        1.56E-23
2118.18         1.55E-23        1.55E-23
2118.68         1.55E-23        1.55E-23
2119.17         1.55E-23        1.55E-23
2119.67         1.55E-23        1.55E-23
2120.16         1.55E-23        1.55E-23
2120.66         1.54E-23        1.54E-23
2121.15         1.54E-23        1.54E-23
2121.65         1.54E-23        1.54E-23
2122.14         1.54E-23        1.54E-23
2122.64         1.53E-23        1.53E-23
2123.14         1.53E-23        1.53E-23
2123.63         1.53E-23        1.53E-23
2124.13         1.53E-23        1.53E-23
2124.62         1.53E-23        1.53E-23
2125.12         1.52E-23        1.52E-23
2125.61         1.52E-23        1.52E-23
2126.11         1.52E-23        1.52E-23
2126.61         1.52E-23        1.52E-23
2127.10         1.52E-23        1.52E-23
2127.60         1.51E-23        1.51E-23
2128.09         1.51E-23        1.51E-23
2128.59         1.51E-23        1.51E-23
2129.08         1.51E-23        1.51E-23
2129.58         1.51E-23        1.51E-23
2130.07         1.50E-23        1.50E-23
2130.57         1.50E-23        1.50E-23
2131.07         1.50E-23        1.50E-23
2131.56         1.50E-23        1.50E-23
2132.06         1.50E-23        1.50E-23
2132.55         1.49E-23        1.49E-23
2133.05         1.49E-23        1.49E-23
2133.54         1.49E-23        1.49E-23
2134.04         1.49E-23        1.49E-23
2134.53         1.48E-23        1.48E-23
2135.03         1.48E-23        1.48E-23
2135.53         1.48E-23        1.48E-23
2136.02         1.48E-23        1.48E-23
2136.52         1.48E-23        1.48E-23
2137.01         1.47E-23        1.47E-23
2137.51         1.47E-23        1.47E-23
2138.00         1.47E-23        1.47E-23
2138.50         1.47E-23        1.47E-23
2139.00         1.47E-23        1.47E-23
2139.49         1.46E-23        1.46E-23
2139.99         1.46E-23        1.46E-23
2140.48         1.46E-23        1.46E-23
2140.98         1.46E-23        1.46E-23
2141.47         1.46E-23        1.46E-23
2141.97         1.45E-23        1.45E-23
