0 Branching ratio for CS2       Total        1 branches    
Lambda          Total           CS/S
1999.23         3.68E-16        3.68E-16
1999.73         3.42E-16        3.42E-16
2000.23         2.91E-16        2.91E-16
2000.72         2.30E-16        2.30E-16
2001.22         1.76E-16        1.76E-16
2001.71         1.38E-16        1.38E-16
2002.21         1.20E-16        1.20E-16
2002.70         1.09E-16        1.09E-16
2003.20         1.10E-16        1.10E-16
2003.69         1.07E-16        1.07E-16
2004.19         9.61E-17        9.61E-17
2004.69         7.78E-17        7.78E-17
2005.18         6.06E-17        6.06E-17
2005.68         5.14E-17        5.14E-17
2006.17         4.84E-17        4.84E-17
2006.67         4.41E-17        4.41E-17
2007.16         3.99E-17        3.99E-17
2007.66         4.00E-17        4.00E-17
2008.15         5.15E-17        5.15E-17
2008.65         7.40E-17        7.40E-17
2009.15         1.03E-16        1.03E-16
2009.64         1.59E-16        1.59E-16
2010.14         2.01E-16        2.01E-16
2010.63         1.80E-16        1.80E-16
2011.13         1.48E-16        1.48E-16
2011.62         1.36E-16        1.36E-16
2012.12         1.49E-16        1.49E-16
2012.62         2.22E-16        2.22E-16
2013.11         3.45E-16        3.45E-16
2013.61         3.52E-16        3.52E-16
2014.10         3.41E-16        3.41E-16
2014.60         3.46E-16        3.46E-16
2015.09         3.31E-16        3.31E-16
2015.59         3.07E-16        3.07E-16
2016.08         2.68E-16        2.68E-16
2016.58         2.25E-16        2.25E-16
2017.08         1.91E-16        1.91E-16
2017.57         1.52E-16        1.52E-16
2018.07         1.14E-16        1.14E-16
2018.56         8.15E-17        8.15E-17
2019.06         6.15E-17        6.15E-17
2019.55         4.95E-17        4.95E-17
2020.05         4.06E-17        4.06E-17
2020.55         3.51E-17        3.51E-17
2021.04         3.29E-17        3.29E-17
2021.54         3.78E-17        3.78E-17
2022.03         4.21E-17        4.21E-17
2022.53         3.92E-17        3.92E-17
2023.02         3.48E-17        3.48E-17
2023.52         4.03E-17        4.03E-17
2024.01         4.66E-17        4.66E-17
2024.51         4.68E-17        4.68E-17
2025.01         4.98E-17        4.98E-17
2025.50         5.65E-17        5.65E-17
2026.00         6.33E-17        6.33E-17
2026.49         7.56E-17        7.56E-17
2026.99         1.53E-16        1.53E-16
2027.48         2.03E-16        2.03E-16
2027.98         1.84E-16        1.84E-16
2028.47         1.71E-16        1.71E-16
2028.97         1.58E-16        1.58E-16
2029.47         1.60E-16        1.60E-16
2029.96         2.00E-16        2.00E-16
2030.46         2.73E-16        2.73E-16
2030.95         3.31E-16        3.31E-16
2031.45         2.95E-16        2.95E-16
2031.94         2.39E-16        2.39E-16
2032.44         1.84E-16        1.84E-16
2032.94         1.37E-16        1.37E-16
2033.43         1.05E-16        1.05E-16
2033.93         7.89E-17        7.89E-17
2034.42         6.65E-17        6.65E-17
2034.92         5.70E-17        5.70E-17
2035.41         4.81E-17        4.81E-17
2035.91         4.13E-17        4.13E-17
2036.40         3.85E-17        3.85E-17
2036.90         3.91E-17        3.91E-17
2037.40         3.20E-17        3.20E-17
2037.89         2.29E-17        2.29E-17
2038.39         1.79E-17        1.79E-17
2038.88         1.70E-17        1.70E-17
2039.38         2.09E-17        2.09E-17
2039.87         3.01E-17        3.01E-17
2040.37         4.87E-17        4.87E-17
2040.87         4.88E-17        4.88E-17
2041.36         4.04E-17        4.04E-17
2041.86         4.02E-17        4.02E-17
2042.35         4.33E-17        4.33E-17
2042.85         4.45E-17        4.45E-17
2043.34         4.87E-17        4.87E-17
2043.84         5.93E-17        5.93E-17
2044.33         7.12E-17        7.12E-17
2044.83         7.76E-17        7.76E-17
2045.33         1.02E-16        1.02E-16
2045.82         1.48E-16        1.48E-16
2046.32         1.55E-16        1.55E-16
2046.81         1.42E-16        1.42E-16
2047.31         1.54E-16        1.54E-16
2047.80         1.75E-16        1.75E-16
2048.30         1.86E-16        1.86E-16
2048.79         1.90E-16        1.90E-16
2049.29         1.63E-16        1.63E-16
2049.79         1.09E-16        1.09E-16
2050.28         7.24E-17        7.24E-17
2050.78         3.51E-17        3.51E-17
2051.27         3.74E-17        3.74E-17
2051.77         3.31E-17        3.31E-17
2052.26         3.04E-17        3.04E-17
2052.76         3.02E-17        3.02E-17
2053.26         2.52E-17        2.52E-17
2053.75         2.23E-17        2.23E-17
2054.25         2.23E-17        2.23E-17
2054.74         2.43E-17        2.43E-17
2055.24         2.94E-17        2.94E-17
2055.73         2.99E-17        2.99E-17
2056.23         3.57E-17        3.57E-17
2056.72         3.55E-17        3.55E-17
2057.22         3.60E-17        3.60E-17
2057.72         3.99E-17        3.99E-17
2058.21         3.88E-17        3.88E-17
2058.71         4.02E-17        4.02E-17
2059.20         3.47E-17        3.47E-17
2059.70         4.25E-17        4.25E-17
2060.19         5.53E-17        5.53E-17
2060.69         6.23E-17        6.23E-17
2061.18         6.35E-17        6.35E-17
2061.68         6.01E-17        6.01E-17
2062.18         9.27E-17        9.27E-17
2062.67         9.23E-17        9.23E-17
2063.17         8.87E-17        8.87E-17
2063.66         1.06E-16        1.06E-16
2064.16         9.69E-17        9.69E-17
2064.65         7.45E-17        7.45E-17
2065.15         5.45E-17        5.45E-17
2065.65         3.88E-17        3.88E-17
2066.14         2.80E-17        2.80E-17
2066.64         2.16E-17        2.16E-17
2067.13         1.87E-17        1.87E-17
2067.63         2.37E-17        2.37E-17
2068.12         2.39E-17        2.39E-17
2068.62         2.14E-17        2.14E-17
2069.11         1.95E-17        1.95E-17
2069.61         1.96E-17        1.96E-17
2070.11         1.91E-17        1.91E-17
2070.60         1.89E-17        1.89E-17
2071.10         1.88E-17        1.88E-17
2071.59         1.57E-17        1.57E-17
2072.09         1.42E-17        1.42E-17
2072.58         1.30E-17        1.30E-17
2073.08         1.57E-17        1.57E-17
2073.58         2.03E-17        2.03E-17
2074.07         2.18E-17        2.18E-17
2074.57         2.13E-17        2.13E-17
2075.06         2.07E-17        2.07E-17
2075.56         1.71E-17        1.71E-17
2076.05         1.51E-17        1.51E-17
2076.55         1.90E-17        1.90E-17
2077.04         1.94E-17        1.94E-17
2077.54         1.73E-17        1.73E-17
2078.04         1.93E-17        1.93E-17
2078.53         2.08E-17        2.08E-17
2079.03         2.85E-17        2.85E-17
2079.52         5.81E-17        5.81E-17
2080.02         7.14E-17        7.14E-17
2080.51         5.78E-17        5.78E-17
2081.01         4.94E-17        4.94E-17
2081.50         4.25E-17        4.25E-17
2082.00         3.10E-17        3.10E-17
2082.50         2.30E-17        2.30E-17
2082.99         1.95E-17        1.95E-17
2083.49         3.39E-17        3.39E-17
2083.98         3.33E-17        3.33E-17
2084.48         2.51E-17        2.51E-17
2084.97         1.82E-17        1.82E-17
2085.47         1.38E-17        1.38E-17
2085.97         1.12E-17        1.12E-17
2086.46         1.01E-17        1.01E-17
2086.96         1.09E-17        1.09E-17
2087.45         1.01E-17        1.01E-17
2087.95         1.04E-17        1.04E-17
2088.44         9.94E-18        9.94E-18
2088.94         9.64E-18        9.64E-18
2089.43         8.77E-18        8.77E-18
2089.93         7.55E-18        7.55E-18
2090.43         7.77E-18        7.77E-18
2090.92         6.95E-18        6.95E-18
2091.42         6.18E-18        6.18E-18
2091.91         8.08E-18        8.08E-18
2092.41         8.02E-18        8.02E-18
2092.90         7.75E-18        7.75E-18
2093.40         7.82E-18        7.82E-18
2093.90         8.02E-18        8.02E-18
2094.39         1.22E-17        1.22E-17
2094.89         1.21E-17        1.21E-17
2095.38         1.52E-17        1.52E-17
2095.88         1.66E-17        1.66E-17
2096.37         1.39E-17        1.39E-17
2096.87         1.19E-17        1.19E-17
2097.36         1.26E-17        1.26E-17
2097.86         1.84E-17        1.84E-17
2098.36         2.45E-17        2.45E-17
2098.85         2.14E-17        2.14E-17
2099.35         1.67E-17        1.67E-17
2099.84         1.60E-17        1.60E-17
2100.34         2.27E-17        2.27E-17
2100.83         1.74E-17        1.74E-17
2101.33         1.27E-17        1.27E-17
2101.82         1.92E-17        1.92E-17
2102.32         1.59E-17        1.59E-17
2102.82         1.28E-17        1.28E-17
2103.31         9.89E-18        9.89E-18
2103.81         7.58E-18        7.58E-18
2104.30         5.72E-18        5.72E-18
